# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"moose"	"rusa Amerika Utara"
"mope"	"sedih"
"moped"	"sepeda kumbang"
"morass"	"rawa"
"moribund"	"hampir mati/habis"
"morocco"	"kulit kambing yg halus"
"morsel"	"potongan kecil,suap"
"moth"	"sejenis kupu2"
"mound"	"timbunan tanah,anak bukit"
"moult"	"berganti bulu,meranggas"
"mottled"	"belang2"
"muezzin"	"modin"
"mufti"	"in ~:berpakaian preman"
"mustang"	"kuda liar dr Amerika"
"murky"	"suram,gelap"
"muse"	"melamun,termenung"
"mutton"	"daging kambing"
"mutter"	"menggumam"
"musty"	"basi"
"muslin"	"kain katun halus"
"muzzy"	"bingung"
"myriad"	"jml yg tdk terhitung"
"myrrh"	"kemenyan,dupa"
"nag"	"kuda kecil,selalu mengomel"
"nadir"	"titik terendah"
"naiad"	"peri air"
"naught"	"nol"
"navvy"	"tukakng bangunan,kuli"
"navel"	"pusar"
"nave"	"bag tengah grj tempat org duduk"
"newt"	"kadal air"
"nether"	"lebih rendah,bawah"
"neigh"	"meringkik"
"nemesis"	"hukkuman setimpal"
"nostril"	"lubang hidung"
"noodle"	"bakmi,org dungu"
"nocturnal"	"malam hari"
"noel"	"Natal"
"niggardly"	"kikir"
"nigh"	"dekat"
"nightingale"	"burung bulbul"
"nipple"	"puting susu,dot"
"notary"	"notaris"
"notch"	"menakik,menoreh"
"pixie"	"peri kecil"
"pixy"	"peri kecil"
"plaice"	"ikan laut yg pipih"
"plantain"	"pohon pisang besar"
"lien"	"hak menyita sampai hutangnya dilunasi"
"lieu"	"pengganti"
"ligament"	"jaringan pengikat sendi"
"ligature"	"pembalut,pengikat"
"lilac"	"bunga kecil berwarna ungu/putih"
"lilt"	"lagu gembira"
"lily"	"bunga bakung"
"limb"	"anggota badan,sayap,dahan pohon"
"limbo"	"kead/tempat barang terlantar"
"lime"	"jeruk limau nipis,pohon berbunga kuning wangi,bsr"
"lime"	"kapur,quick ~:kapur mentah,slaked ~:kapur mati"
"lime"	"~light:lampu panggung yg terang,mendpt perhatian-"
"limerick"	"sajak jenaka 5 brs"
"limp"	"lembek,lesu,pincang"
"limpet"	"teritip"
"limpid"	"jernih,bening"
"linchpin"	"pasak pd as roda"
"lineament"	"raut muka"
"linen"	"kain linen"
"linger"	"berlambat2,tdk bersungguh2,segan,berkepanjangan"
"lingerie"	"pakaian dlm wanita"
"lingo"	"bhs golongan"
"lingua franca"	"bhs persatuan"
"liniment"	"obat gosok"
"links"	"lapangan golf"
"linseed"	"biji rami"
"lint"	"kain pembalut"
"lintel"	"ambang pintu"
"lioness"	"singa betina"
"lionize"	"memperlakukan seseorg spt org penting"
"liqueur"	"minuman keras"
"liquor"	"minuman keras"
"lissom"	"cekatan"
